applicant_id,loan_amount,loan_amount_term,credit_history,loan_status
LP001002,,360.0,1.0,Y
LP001003,128.0,360.0,1.0,N
LP001005,66.0,360.0,1.0,Y
LP001006,120.0,360.0,1.0,Y
LP001008,141.0,360.0,1.0,Y
LP001011,267.0,360.0,1.0,Y
LP001013,95.0,360.0,1.0,Y
LP001014,158.0,360.0,0.0,N
LP001018,168.0,360.0,1.0,Y
LP001020,349.0,360.0,1.0,N
LP001024,70.0,360.0,1.0,Y
LP001027,109.0,360.0,1.0,Y
LP001028,200.0,360.0,1.0,Y
LP001029,114.0,360.0,1.0,N
LP001030,17.0,120.0,1.0,Y
LP001032,125.0,360.0,1.0,Y
LP001034,100.0,240.0,,Y
LP001036,76.0,360.0,0.0,N
LP001038,133.0,360.0,1.0,N
LP001041,115.0,,1.0,Y
LP001043,104.0,360.0,0.0,N
LP001046,315.0,360.0,1.0,Y
LP001047,116.0,360.0,0.0,N
LP001050,112.0,360.0,0.0,N
LP001052,151.0,360.0,,N
LP001066,191.0,360.0,1.0,Y
LP001068,122.0,360.0,1.0,Y
LP001073,110.0,360.0,1.0,Y
LP001086,35.0,360.0,1.0,N
LP001087,120.0,360.0,1.0,Y
LP001091,201.0,360.0,,N
LP001095,74.0,360.0,1.0,N
LP001097,106.0,360.0,1.0,N
LP001098,114.0,360.0,1.0,Y
LP001100,320.0,360.0,1.0,N
LP001106,,360.0,1.0,Y
LP001109,100.0,,0.0,N
LP001112,144.0,360.0,1.0,Y
LP001114,184.0,360.0,1.0,Y
LP001116,110.0,360.0,1.0,Y
LP001119,80.0,360.0,1.0,N
LP001120,47.0,360.0,1.0,Y
LP001123,75.0,360.0,,Y
LP001131,134.0,360.0,1.0,Y
LP001136,96.0,,1.0,Y
LP001137,88.0,,1.0,Y
LP001138,44.0,360.0,1.0,Y
LP001144,144.0,360.0,1.0,Y
LP001146,120.0,360.0,0.0,N
LP001151,144.0,360.0,1.0,Y
LP001155,100.0,360.0,1.0,Y
LP001157,120.0,360.0,1.0,Y
LP001164,112.0,360.0,1.0,N
LP001179,134.0,360.0,1.0,N
LP001186,286.0,360.0,0.0,N
LP001194,97.0,360.0,1.0,Y
LP001195,96.0,360.0,1.0,Y
LP001197,135.0,360.0,1.0,N
LP001198,180.0,360.0,1.0,Y
LP001199,144.0,360.0,1.0,Y
LP001205,120.0,360.0,1.0,Y
LP001206,99.0,360.0,1.0,Y
LP001207,165.0,180.0,0.0,N
LP001213,,360.0,0.0,N
LP001222,116.0,360.0,0.0,N
LP001225,258.0,360.0,1.0,N
LP001228,126.0,180.0,0.0,N
LP001233,312.0,360.0,1.0,Y
LP001238,125.0,60.0,1.0,Y
LP001241,136.0,360.0,0.0,N
LP001243,172.0,360.0,1.0,Y
LP001245,97.0,360.0,1.0,Y
LP001248,81.0,300.0,1.0,Y
LP001250,95.0,,0.0,N
LP001253,187.0,360.0,1.0,Y
LP001255,113.0,480.0,1.0,N
LP001256,176.0,360.0,1.0,N
LP001259,110.0,360.0,1.0,N
LP001263,180.0,300.0,0.0,N
LP001264,130.0,360.0,,Y
LP001265,111.0,360.0,1.0,Y
LP001266,,360.0,1.0,Y
LP001267,167.0,360.0,1.0,N
LP001273,265.0,360.0,,N
LP001275,50.0,240.0,1.0,Y
LP001279,136.0,360.0,1.0,Y
LP001280,99.0,360.0,,Y
LP001282,104.0,360.0,1.0,Y
LP001289,210.0,360.0,1.0,Y
LP001310,175.0,360.0,1.0,Y
LP001316,131.0,360.0,1.0,Y
LP001318,188.0,180.0,1.0,Y
LP001319,81.0,360.0,1.0,Y
LP001322,122.0,360.0,1.0,Y
LP001325,25.0,120.0,1.0,Y
LP001326,,360.0,,N
LP001327,137.0,360.0,1.0,Y
LP001333,50.0,360.0,1.0,Y
LP001334,115.0,180.0,1.0,Y
LP001343,131.0,360.0,1.0,Y
LP001345,133.0,180.0,1.0,Y
LP001349,151.0,360.0,1.0,Y
LP001350,,360.0,1.0,Y
LP001356,,360.0,1.0,Y
LP001357,160.0,360.0,1.0,Y
LP001367,100.0,360.0,1.0,Y
LP001369,225.0,360.0,1.0,Y
LP001370,120.0,360.0,1.0,N
LP001379,216.0,360.0,0.0,N
LP001384,94.0,480.0,1.0,Y
LP001385,136.0,360.0,1.0,Y
LP001387,139.0,360.0,1.0,Y
LP001391,152.0,,0.0,N
LP001392,,360.0,1.0,Y
LP001398,118.0,360.0,1.0,Y
LP001401,185.0,180.0,1.0,Y
LP001404,154.0,360.0,1.0,Y
LP001405,85.0,360.0,,Y
LP001421,175.0,360.0,1.0,N
LP001422,259.0,360.0,1.0,Y
LP001426,180.0,360.0,1.0,Y
LP001430,44.0,360.0,1.0,Y
LP001431,137.0,360.0,0.0,Y
LP001432,81.0,360.0,1.0,Y
LP001439,194.0,360.0,1.0,Y
LP001443,93.0,360.0,,Y
LP001448,370.0,360.0,1.0,Y
LP001449,,360.0,1.0,Y
LP001451,160.0,180.0,0.0,N
LP001465,182.0,360.0,,N
LP001469,650.0,480.0,,Y
LP001473,74.0,360.0,1.0,Y
LP001478,70.0,360.0,1.0,Y
LP001482,25.0,120.0,1.0,Y
LP001487,102.0,360.0,1.0,Y
LP001488,290.0,360.0,1.0,N
LP001489,84.0,360.0,1.0,N
LP001491,88.0,360.0,1.0,Y
LP001492,242.0,360.0,0.0,N
LP001493,129.0,360.0,1.0,N
LP001497,185.0,360.0,1.0,N
LP001498,168.0,360.0,1.0,Y
LP001504,175.0,180.0,1.0,Y
LP001507,122.0,360.0,1.0,Y
LP001508,187.0,180.0,1.0,Y
LP001514,100.0,360.0,1.0,Y
LP001516,70.0,360.0,1.0,Y
LP001518,30.0,360.0,1.0,Y
LP001519,225.0,360.0,1.0,N
LP001520,125.0,360.0,1.0,Y
LP001528,118.0,360.0,0.0,N
LP001529,152.0,360.0,1.0,Y
LP001531,244.0,360.0,1.0,N
LP001532,113.0,360.0,1.0,N
LP001535,50.0,360.0,1.0,Y
LP001536,600.0,180.0,0.0,Y
LP001541,160.0,360.0,,Y
LP001543,187.0,360.0,1.0,Y
LP001546,120.0,360.0,1.0,Y
LP001552,255.0,360.0,1.0,Y
LP001560,98.0,360.0,1.0,Y
LP001562,275.0,360.0,1.0,N
LP001565,121.0,360.0,0.0,N
LP001570,158.0,360.0,1.0,Y
LP001572,75.0,180.0,1.0,Y
LP001574,182.0,,1.0,Y
LP001577,112.0,360.0,1.0,N
LP001578,129.0,360.0,1.0,Y
LP001579,63.0,480.0,0.0,N
LP001580,200.0,360.0,1.0,Y
LP001581,95.0,360.0,1.0,Y
LP001585,700.0,300.0,1.0,Y
LP001586,81.0,180.0,1.0,N
LP001594,187.0,360.0,1.0,Y
LP001603,87.0,360.0,1.0,N
LP001606,116.0,360.0,1.0,Y
LP001608,101.0,360.0,1.0,Y
LP001610,495.0,360.0,0.0,N
LP001616,116.0,360.0,1.0,Y
LP001630,102.0,480.0,0.0,N
LP001633,180.0,360.0,0.0,N
LP001634,67.0,360.0,,N
LP001636,73.0,180.0,1.0,Y
LP001637,260.0,360.0,1.0,N
LP001639,108.0,360.0,1.0,Y
LP001640,120.0,360.0,1.0,Y
LP001641,66.0,300.0,0.0,N
LP001643,58.0,360.0,,Y
LP001644,168.0,360.0,1.0,Y
LP001647,188.0,180.0,1.0,Y
LP001653,48.0,360.0,1.0,Y
LP001656,164.0,360.0,1.0,N
LP001657,160.0,360.0,1.0,N
LP001658,76.0,360.0,1.0,Y
LP001664,120.0,360.0,1.0,Y
LP001665,170.0,360.0,1.0,N
LP001666,187.0,360.0,1.0,Y
LP001669,120.0,,1.0,Y
LP001671,113.0,360.0,,Y
LP001673,83.0,360.0,1.0,N
LP001674,90.0,360.0,1.0,Y
LP001677,166.0,360.0,0.0,Y
LP001682,,180.0,1.0,N
LP001688,135.0,360.0,1.0,Y
LP001691,124.0,360.0,1.0,Y
LP001692,120.0,360.0,1.0,Y
LP001693,80.0,360.0,1.0,Y
LP001698,55.0,360.0,1.0,Y
LP001699,59.0,360.0,1.0,Y
LP001702,127.0,360.0,1.0,N
LP001708,214.0,360.0,1.0,N
LP001711,128.0,360.0,0.0,N
LP001713,240.0,360.0,1.0,Y
LP001715,130.0,360.0,1.0,Y
LP001716,137.0,360.0,1.0,Y
LP001720,100.0,360.0,1.0,Y
LP001722,135.0,360.0,1.0,N
LP001726,131.0,360.0,1.0,Y
LP001732,72.0,360.0,0.0,N
LP001734,127.0,360.0,,Y
LP001736,60.0,360.0,0.0,N
LP001743,116.0,360.0,1.0,Y
LP001744,144.0,360.0,1.0,Y
LP001749,175.0,,1.0,Y
LP001750,128.0,360.0,1.0,Y
LP001751,170.0,360.0,1.0,N
LP001754,138.0,360.0,1.0,N
LP001758,210.0,360.0,1.0,Y
LP001760,158.0,480.0,1.0,Y
LP001761,200.0,360.0,1.0,Y
LP001765,104.0,360.0,1.0,Y
LP001768,42.0,180.0,1.0,Y
LP001770,120.0,,1.0,Y
LP001776,280.0,360.0,1.0,Y
LP001778,140.0,360.0,1.0,Y
LP001784,170.0,360.0,1.0,Y
LP001786,255.0,360.0,,N
LP001788,122.0,360.0,,Y
LP001790,112.0,360.0,1.0,Y
LP001792,96.0,360.0,1.0,Y
LP001798,120.0,360.0,1.0,Y
LP001800,140.0,180.0,1.0,N
LP001806,155.0,60.0,1.0,Y
LP001807,108.0,360.0,1.0,Y
LP001811,123.0,360.0,1.0,Y
LP001813,120.0,180.0,1.0,N
LP001814,112.0,360.0,1.0,Y
LP001819,137.0,180.0,1.0,Y
LP001824,123.0,480.0,1.0,Y
LP001825,90.0,360.0,1.0,Y
LP001835,201.0,360.0,0.0,N
LP001836,138.0,360.0,1.0,N
LP001841,104.0,360.0,1.0,Y
LP001843,279.0,180.0,1.0,Y
LP001844,192.0,360.0,0.0,N
LP001846,255.0,360.0,1.0,Y
LP001849,115.0,360.0,0.0,N
LP001854,94.0,360.0,1.0,N
LP001859,304.0,360.0,1.0,N
LP001864,128.0,360.0,,N
LP001865,330.0,360.0,,Y
LP001868,134.0,360.0,1.0,Y
LP001870,155.0,36.0,1.0,N
LP001871,120.0,360.0,1.0,Y
LP001872,128.0,360.0,1.0,Y
LP001875,151.0,360.0,1.0,Y
LP001877,150.0,360.0,1.0,Y
LP001882,160.0,360.0,0.0,Y
LP001883,135.0,360.0,1.0,N
LP001884,90.0,360.0,1.0,Y
LP001888,30.0,360.0,1.0,Y
LP001891,136.0,360.0,1.0,Y
LP001892,126.0,360.0,1.0,Y
LP001894,150.0,360.0,1.0,Y
LP001896,90.0,360.0,1.0,Y
LP001900,115.0,360.0,1.0,Y
LP001903,207.0,360.0,1.0,Y
LP001904,80.0,360.0,1.0,Y
LP001907,436.0,360.0,1.0,Y
LP001908,124.0,360.0,,Y
LP001910,158.0,360.0,0.0,N
LP001914,112.0,360.0,1.0,Y
LP001915,78.0,180.0,1.0,Y
LP001917,54.0,360.0,1.0,Y
LP001922,,360.0,1.0,N
LP001924,89.0,360.0,1.0,Y
LP001925,99.0,300.0,1.0,N
LP001926,120.0,360.0,1.0,Y
LP001931,115.0,360.0,1.0,Y
LP001935,187.0,360.0,1.0,Y
LP001936,139.0,360.0,1.0,Y
LP001938,127.0,360.0,0.0,N
LP001940,134.0,360.0,1.0,Y
LP001945,143.0,480.0,0.0,N
LP001947,172.0,360.0,1.0,Y
LP001949,110.0,360.0,1.0,Y
LP001953,200.0,360.0,1.0,Y
LP001954,135.0,360.0,1.0,Y
LP001955,151.0,480.0,1.0,N
LP001963,113.0,360.0,1.0,N
LP001964,93.0,360.0,0.0,N
LP001972,105.0,360.0,1.0,Y
LP001974,132.0,360.0,1.0,Y
LP001977,96.0,360.0,1.0,Y
LP001978,140.0,360.0,1.0,Y
LP001990,,360.0,1.0,N
LP001993,135.0,360.0,1.0,Y
LP001994,104.0,360.0,0.0,N
LP001996,480.0,360.0,1.0,N
LP001998,185.0,360.0,,Y
LP002002,84.0,360.0,1.0,Y
LP002004,111.0,360.0,1.0,Y
LP002006,56.0,360.0,1.0,Y
LP002008,144.0,84.0,,Y
LP002024,159.0,360.0,1.0,N
LP002031,111.0,180.0,1.0,Y
LP002035,120.0,360.0,1.0,Y
LP002036,88.0,360.0,,Y
LP002043,112.0,360.0,,Y
LP002050,155.0,360.0,1.0,N
LP002051,115.0,360.0,1.0,Y
LP002053,124.0,360.0,1.0,Y
LP002054,,360.0,1.0,Y
LP002055,132.0,360.0,,Y
LP002065,300.0,360.0,1.0,Y
LP002067,376.0,360.0,0.0,N
LP002068,130.0,360.0,0.0,Y
LP002082,184.0,360.0,1.0,Y
LP002086,110.0,360.0,1.0,N
LP002087,67.0,360.0,1.0,Y
LP002097,117.0,360.0,1.0,Y
LP002098,98.0,360.0,1.0,Y
LP002100,71.0,360.0,1.0,Y
LP002101,490.0,180.0,1.0,Y
LP002103,182.0,180.0,1.0,Y
LP002106,70.0,,1.0,Y
LP002110,160.0,360.0,1.0,Y
LP002112,176.0,360.0,1.0,Y
LP002113,,360.0,0.0,N
LP002114,71.0,360.0,1.0,Y
LP002115,173.0,360.0,1.0,N
LP002116,46.0,360.0,1.0,N
LP002119,158.0,360.0,1.0,Y
LP002126,74.0,360.0,1.0,Y
LP002128,125.0,360.0,1.0,Y
LP002129,160.0,360.0,1.0,Y
LP002130,152.0,360.0,0.0,N
LP002131,126.0,360.0,1.0,Y
LP002137,259.0,360.0,,Y
LP002138,187.0,360.0,1.0,Y
LP002139,228.0,360.0,1.0,Y
LP002140,308.0,360.0,1.0,N
LP002141,95.0,360.0,1.0,Y
LP002142,105.0,360.0,0.0,N
LP002143,130.0,360.0,1.0,Y
LP002144,116.0,180.0,1.0,Y
LP002149,165.0,360.0,1.0,Y
LP002151,67.0,360.0,1.0,N
LP002158,100.0,480.0,0.0,N
LP002160,200.0,360.0,1.0,Y
LP002161,81.0,360.0,1.0,N
LP002170,236.0,360.0,1.0,Y
LP002175,130.0,360.0,1.0,Y
LP002178,95.0,300.0,,Y
LP002180,141.0,360.0,1.0,Y
LP002181,133.0,360.0,1.0,N
LP002187,96.0,480.0,1.0,N
LP002188,124.0,,0.0,N
LP002190,175.0,360.0,1.0,Y
LP002191,570.0,360.0,1.0,N
LP002194,55.0,360.0,1.0,Y
LP002197,155.0,360.0,1.0,Y
LP002201,380.0,300.0,1.0,Y
LP002205,111.0,180.0,0.0,N
LP002209,110.0,360.0,1.0,Y
LP002211,120.0,180.0,1.0,Y
LP002219,130.0,360.0,1.0,Y
LP002223,130.0,360.0,,Y
LP002224,71.0,480.0,1.0,N
LP002225,130.0,360.0,1.0,Y
LP002226,128.0,360.0,1.0,Y
LP002229,296.0,360.0,1.0,Y
LP002231,156.0,360.0,1.0,Y
LP002234,128.0,360.0,1.0,Y
LP002236,100.0,360.0,1.0,N
LP002237,113.0,180.0,1.0,Y
LP002239,132.0,360.0,1.0,Y
LP002243,,360.0,0.0,N
LP002244,136.0,360.0,1.0,Y
LP002250,125.0,360.0,1.0,Y
LP002255,185.0,360.0,1.0,Y
LP002262,275.0,360.0,1.0,Y
LP002263,120.0,360.0,,Y
LP002265,113.0,180.0,1.0,Y
LP002266,113.0,360.0,1.0,Y
LP002272,135.0,360.0,,Y
LP002277,71.0,360.0,0.0,N
LP002281,95.0,360.0,1.0,Y
LP002284,109.0,360.0,1.0,Y
LP002287,103.0,360.0,0.0,N
LP002288,45.0,180.0,0.0,N
LP002296,65.0,300.0,1.0,N
LP002297,103.0,360.0,1.0,Y
LP002300,53.0,360.0,1.0,Y
LP002301,194.0,360.0,1.0,N
LP002305,115.0,360.0,1.0,Y
LP002308,115.0,360.0,1.0,Y
LP002314,66.0,360.0,1.0,Y
LP002315,152.0,300.0,0.0,N
LP002317,360.0,360.0,0.0,N
LP002318,62.0,360.0,1.0,N
LP002319,160.0,360.0,,Y
LP002328,218.0,360.0,0.0,N
LP002332,110.0,360.0,1.0,Y
LP002335,178.0,360.0,0.0,N
LP002337,60.0,360.0,1.0,Y
LP002341,160.0,360.0,1.0,N
LP002342,239.0,360.0,1.0,N
LP002345,112.0,360.0,1.0,Y
LP002347,138.0,360.0,1.0,Y
LP002348,138.0,360.0,1.0,Y
LP002357,80.0,,0.0,N
LP002361,100.0,360.0,1.0,Y
LP002362,110.0,,0.0,N
LP002364,96.0,360.0,1.0,Y
LP002366,121.0,360.0,1.0,Y
LP002367,81.0,360.0,1.0,N
LP002368,133.0,360.0,1.0,Y
LP002369,87.0,360.0,1.0,Y
LP002370,60.0,180.0,1.0,Y
LP002377,150.0,360.0,1.0,Y
LP002379,105.0,360.0,0.0,N
LP002386,405.0,360.0,1.0,Y
LP002387,143.0,360.0,1.0,Y
LP002390,100.0,360.0,1.0,Y
LP002393,,240.0,1.0,Y
LP002398,50.0,360.0,1.0,Y
LP002401,,360.0,1.0,Y
LP002403,187.0,360.0,0.0,N
LP002407,138.0,360.0,1.0,Y
LP002408,187.0,360.0,1.0,Y
LP002409,180.0,360.0,1.0,Y
LP002418,148.0,360.0,1.0,Y
LP002422,152.0,360.0,1.0,Y
LP002424,175.0,300.0,,Y
LP002429,130.0,360.0,1.0,Y
LP002434,110.0,360.0,1.0,Y
LP002435,55.0,360.0,1.0,N
LP002443,150.0,360.0,0.0,N
LP002444,190.0,360.0,,N
LP002446,125.0,360.0,0.0,N
LP002447,60.0,300.0,,Y
LP002448,149.0,360.0,0.0,N
LP002449,90.0,180.0,0.0,Y
LP002453,84.0,360.0,1.0,Y
LP002455,96.0,360.0,1.0,Y
LP002459,118.0,360.0,1.0,Y
LP002467,173.0,360.0,1.0,N
LP002472,136.0,360.0,1.0,Y
LP002473,160.0,360.0,1.0,N
LP002478,160.0,360.0,,Y
LP002484,128.0,180.0,1.0,Y
LP002487,153.0,360.0,1.0,Y
LP002489,132.0,360.0,1.0,Y
LP002493,98.0,360.0,0.0,N
LP002494,140.0,360.0,1.0,Y
LP002500,70.0,180.0,0.0,N
LP002501,110.0,360.0,1.0,Y
LP002502,98.0,360.0,1.0,Y
LP002505,110.0,360.0,1.0,N
LP002515,162.0,360.0,1.0,Y
LP002517,113.0,180.0,0.0,N
LP002519,100.0,360.0,1.0,Y
LP002522,93.0,360.0,,Y
LP002524,162.0,360.0,1.0,Y
LP002527,150.0,360.0,1.0,Y
LP002529,230.0,300.0,1.0,Y
LP002530,132.0,360.0,0.0,N
LP002531,86.0,360.0,1.0,Y
LP002533,,360.0,1.0,N
LP002534,154.0,360.0,1.0,Y
LP002536,113.0,360.0,1.0,Y
LP002537,128.0,360.0,1.0,Y
LP002541,234.0,360.0,1.0,Y
LP002543,246.0,360.0,1.0,Y
LP002544,131.0,360.0,1.0,Y
LP002545,80.0,360.0,0.0,N
LP002547,500.0,360.0,1.0,N
LP002555,160.0,360.0,1.0,Y
LP002556,75.0,360.0,1.0,N
LP002560,96.0,360.0,,Y
LP002562,186.0,360.0,,Y
LP002571,110.0,360.0,1.0,Y
LP002582,225.0,360.0,1.0,Y
LP002585,119.0,360.0,0.0,N
LP002586,105.0,84.0,1.0,Y
LP002587,107.0,360.0,1.0,Y
LP002588,111.0,12.0,,Y
LP002600,95.0,360.0,1.0,Y
LP002602,209.0,360.0,0.0,N
LP002603,113.0,480.0,1.0,Y
LP002606,100.0,360.0,1.0,Y
LP002615,208.0,360.0,1.0,Y
LP002618,138.0,360.0,,N
LP002619,124.0,300.0,1.0,Y
LP002622,243.0,360.0,1.0,Y
LP002624,480.0,360.0,,Y
LP002625,96.0,360.0,1.0,N
LP002626,188.0,360.0,1.0,Y
LP002634,40.0,360.0,1.0,Y
LP002637,100.0,360.0,1.0,N
LP002640,250.0,360.0,1.0,Y
LP002643,148.0,360.0,1.0,Y
LP002648,70.0,180.0,1.0,N
LP002652,311.0,360.0,1.0,N
LP002659,150.0,360.0,1.0,Y
LP002670,113.0,480.0,1.0,Y
LP002682,123.0,360.0,0.0,N
LP002683,185.0,360.0,1.0,N
LP002684,95.0,360.0,1.0,N
LP002689,45.0,360.0,1.0,Y
LP002690,55.0,360.0,1.0,Y
LP002692,100.0,360.0,1.0,Y
LP002693,480.0,360.0,1.0,Y
LP002697,,360.0,1.0,N
LP002699,400.0,360.0,1.0,Y
LP002705,110.0,360.0,1.0,Y
LP002706,161.0,360.0,0.0,Y
LP002714,94.0,360.0,1.0,Y
LP002716,130.0,360.0,1.0,Y
LP002717,216.0,360.0,,Y
LP002720,100.0,360.0,1.0,Y
LP002723,110.0,360.0,0.0,N
LP002729,196.0,360.0,,N
LP002731,125.0,360.0,1.0,Y
LP002732,126.0,360.0,1.0,Y
LP002734,324.0,360.0,1.0,Y
LP002738,107.0,360.0,1.0,Y
LP002739,66.0,360.0,1.0,N
LP002740,157.0,180.0,1.0,Y
LP002741,140.0,180.0,1.0,Y
LP002743,99.0,360.0,0.0,N
LP002753,95.0,360.0,1.0,Y
LP002755,128.0,360.0,1.0,Y
LP002757,102.0,360.0,,Y
LP002767,155.0,360.0,1.0,Y
LP002768,80.0,36.0,1.0,N
LP002772,145.0,360.0,1.0,Y
LP002776,103.0,360.0,0.0,N
LP002777,110.0,360.0,1.0,Y
LP002778,,360.0,0.0,N
LP002784,,360.0,1.0,Y
LP002785,158.0,360.0,1.0,Y
LP002788,181.0,360.0,0.0,N
LP002789,132.0,180.0,0.0,N
LP002792,26.0,360.0,1.0,Y
LP002794,84.0,360.0,,Y
LP002795,260.0,360.0,1.0,Y
LP002798,162.0,360.0,1.0,Y
LP002804,182.0,360.0,1.0,Y
LP002807,108.0,360.0,1.0,Y
LP002813,600.0,360.0,1.0,Y
LP002820,211.0,360.0,1.0,Y
LP002821,132.0,360.0,1.0,Y
LP002832,258.0,360.0,0.0,N
LP002833,120.0,360.0,,Y
LP002836,70.0,360.0,1.0,Y
LP002837,123.0,360.0,0.0,N
LP002840,9.0,360.0,1.0,N
LP002841,104.0,360.0,0.0,N
LP002842,186.0,360.0,1.0,Y
LP002847,165.0,360.0,0.0,N
LP002855,275.0,360.0,1.0,Y
LP002862,187.0,480.0,1.0,N
LP002863,150.0,360.0,1.0,N
LP002868,108.0,84.0,1.0,Y
LP002872,136.0,360.0,0.0,N
LP002874,110.0,360.0,1.0,Y
LP002877,107.0,360.0,1.0,Y
LP002888,161.0,360.0,1.0,Y
LP002892,205.0,360.0,1.0,Y
LP002893,90.0,360.0,1.0,N
LP002894,36.0,360.0,1.0,Y
LP002898,61.0,360.0,,N
LP002911,146.0,360.0,0.0,N
LP002912,172.0,84.0,1.0,N
LP002916,104.0,360.0,1.0,Y
LP002917,70.0,360.0,1.0,Y
LP002925,94.0,360.0,1.0,Y
LP002926,106.0,360.0,0.0,N
LP002928,56.0,180.0,1.0,Y
LP002931,205.0,240.0,1.0,N
LP002933,292.0,360.0,1.0,Y
LP002936,142.0,180.0,1.0,Y
LP002938,260.0,360.0,1.0,Y
LP002940,110.0,360.0,1.0,Y
LP002941,187.0,360.0,1.0,N
LP002943,88.0,360.0,0.0,N
LP002945,180.0,360.0,1.0,Y
LP002948,192.0,360.0,1.0,Y
LP002949,350.0,180.0,,N
LP002950,155.0,360.0,1.0,Y
LP002953,128.0,360.0,1.0,Y
LP002958,172.0,360.0,1.0,Y
LP002959,496.0,360.0,1.0,Y
LP002960,,180.0,1.0,N
LP002961,173.0,360.0,1.0,Y
LP002964,157.0,360.0,1.0,Y
LP002974,108.0,360.0,1.0,Y
LP002978,71.0,360.0,1.0,Y
LP002979,40.0,180.0,1.0,Y
LP002983,253.0,360.0,1.0,Y
LP002984,187.0,360.0,1.0,Y
LP002990,133.0,360.0,0.0,N
